City,Country,ISO,Continent,Video processing time (in s),Persons,Cars,Cycles,Motorbikes,Buses,Trucks,Traffic lights,sound
New York City,United States,USA,North America,78.36,,,,,,,,
Rio de Janeiro,Brazil,BRA,South America,89.55,,,,,,,,
Amsterdam,The Netherlands,NLD,Europe,87.25,,,,,,,,
Cairo,Egypt,EGY,Africa,88.47,,,,,,,,
Sydney,Australia,AUS,Oceania,82.39,,,,,,,,
Tokyo,Japan,JPN,Asia,83.29,,,,,,,,
Seoul,South Korea,KOR,Asia,81.94,,,,,,,,
Kampala,Uganda,UGA,Africa,84.59,,,,,,,,
Accra,Ghana,GHA,Africa,83.29,,,,,,,,
Pyongyang,North Korea,PRK,Asia,197.5,,,,,,,,
Toronto,Canada,CAN,North America,82.9,,,,,,,,
Mumbai,India,IND,Asia,95.69,,,,,,,,
Paris,France,FRA,Europe,97.6,,,,,,,,
Oslo,Norway,NOR,Europe,88.83,,,,,,,,
Kabul,Afghanistan,AFG,Asia,107.74,,,,,,,,
Buenos Aires,Argentina,ARG,South America,84.03,,,,,,,,
Tirana,Albania,ALB,Europe,95.37,,,,,,,,
Algiers,Algeria,DZA,Africa,82.59,,,,,,,,
Dhaka,Bangladesh,BGD,Asia,90.82,,,,,,,,
Beijing,China,CHN,Asia,84.1,,,,,,,,
Moscow,Russia,RUS,Europe,90.97,,,,,,,,
Brussels,Belgium,BEL,Europe,94.93,,,,,,,,
Sofia,Bulgaria,BGR,Europe,86.23,,,,,,,,
Phnom Penh,Cambodia,KHM,Asia,97.86,,,,,,,,
Berlin,Germany,DEU,Europe,84.72,,,,,,,,
Tel Aviv,Israel,ISR,Asia,97.02,,,,,,,,
Karachi,Pakistan,PAK,Asia,95.42,,,,,,,,
Kyiv,Ukraine,UKR,Europe,87.48,,,,,,,,
Dubai,United Arab Emirates,ARE,Asia,86.26,,,,,,,,
Auckland,New Zealand,NZL,Oceania,82.54,,,,,,,,
Suva,Fiji,FJI,Oceania,84.81,,,,,,,,
Funafuti,Tuvalu,TUV,Oceania,89.95,,,,,,,,
Istanbul,Turkey,TUR,Asia,110.48,,,,,,,,
Tehran,Iran,IRN,Asia,86.45,,,,,,,,
Muscat,Oman,OMN,Asia,122.58,,,,,,,,
Damascus,Syria,SYR,Asia,86.78,,,,,,,,
Lima,Peru,PER,South America,96.04,,,,,,,,
Santiago,Chile,CHL,South America,117.79,,,,,,,,
Mexico City,Mexico,MEX,North America,115.32,,,,,,,,
London,United Kingdom,GBR,Europe,87.31,,,,,,,,
Rome,Italy,ITA,Europe,83.69,,,,,,,,
Barcelona,Spain,ESP,Europe,95.97,,,,,,,,
Zurich,Switzerland,CHE,Europe,92.56,,,,,,,,
Yangon,Myanmar,MMR,Asia,118.18,,,,,,,,
Zanzibar,Tanzania,TZA,Africa,91.07,,,,,,,,
Jakarta,Indonesia,IDN,Asia,84.81,,,,,,,,
Stockholm,Sweden,SWE,Europe,85.46,,,,,,,,
Copenhagen,Denmark,DNK,Europe,113.22,,,,,,,,
Helsinki,Finland,FIN,Europe,79.07,,,,,,,,
Warsaw,Poland,POL,Europe,78.73,,,,,,,,
Lisbon,Portugal,PRT,Europe,85.73,,,,,,,,
Athens,Greece,GRC,Europe,89.66,,,,,,,,
Dubrovnik,Croatia,HRV,Europe,89.21,,,,,,,,
Vatican City,Vatican,VAT,Europe,93.23,,,,,,,,
Havana,Cuba,CUB,North America,98.12,,,,,,,,
Panama City,Panama,PAN,North America,88.81,,,,,,,,
Malé,Maldives,MDV,Asia,101.02,,,,,,,,
Almaty,Kazakhstan,KAZ,Asia,136.13,,,,,,,,
Riyadh,Saudi Arabia,SAU,Asia,82.36,,,,,,,,
Kuala Lumpur,Malaysia,MYS,Asia,89.75,,,,,,,,
Doha,Qatar,QAT,Asia,84.3,,,,,,,,
Lagos,Nigeria,NGA,Africa,91.03,,,,,,,,
Tunis,Tunisia,TUN,Africa,91.26,,,,,,,,
Asmara,Eritrea,ERI,Africa,94.3,,,,,,,,
Banjul,Gambia,GMB,Africa,59.33,,,,,,,,
Bangui,Central African Republic,CAF,Africa,98.16,,,,,,,,
N'Djamena,Chad,TCD,Africa,99.71,,,,,,,,
Quito,Ecuador,ECU,South America,130.25,,,,,,,,
Montevideo,Uruguay,URY,South America,82.89,,,,,,,,
Asunción,Paraguay,PRY,South America,97.34,,,,,,,,
Colombo,Sri Lanka,LKA,Asia,74.27,,,,,,,,
Kathmandu,Nepal,NPL,Asia,81.54,,,,,,,,
Baku,Azerbaijan,AZE,Asia,79.96,,,,,,,,
Bangkok,Thailand,THA,Asia,97.81,,,,,,,,
Kinshasa,Democratic Republic of the Congo,COD,Africa,76.4,,,,,,,,
Baghdad,Iraq,IRQ,Asia,80.52,,,,,,,,
